uid,nombre_de_la_entidad,departamento_entidad,orden_entidad,modalidad,causal_contratacion_directa,objeto_a_contratar,detalle_objeto,cuantia_proceso,cuantia_contrato,valor_total_de_adiciones,valor_contrato_con_adiciones,anno_firma,fecha_firma,fecha_ini_ejec_contrato,plazo_de_ejec_del_contrato,rango_de_ejec_del_contrato,tiempo_adiciones_en_dias,tiempo_adiciones_en_meses,fecha_fin_ejec_contrato,id_adjudicacion,urlproceso,nit_de_la_entidad,identificacion_del_contratista,dpto_y_muni_contratista,municipio_entidad,nom_razon_social_contratista,estado_del_proceso
17-11-6664916-6178291,NARINO - ALCALDIA MUNICIPIO DE ARBOLEDA (BERRUECOS),NARINO,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONTRATAR LA OBRA PUBLICA PARA REALIZAR LA APERTURA DE UN TRAMO DE VIA EN LA VEREDA EL PEDREGAL  LA COMUNIDAD 1 DEL MUNICIPIO DE ARBOLEDA DEPARTAMENTO DE NARINO. BPIM 20170520510026.,59999680,59999680,0,59999680,2017,2017-07-10T00:00:00.000,2017-07-10T00:00:00.000,20,D,0,0,2017-07-30T00:00:00.000,6178291,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-11-6664916'},800093386-8,1085245913,NARINO,ARBOLEDA,JOSE IGNACIO CORDOBA CAIPE,LIQUIDADO
15-12-4053953-3753549,AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,META,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,CONTRATACION DIRECTA (LEY 1150 DE 2007),URGENCIA MANIFIESTA (LITERAL A),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO VIAL VEREDA MONTECRISTO MEDIANTE OBRAS HIDRAULICAS Y CONFORMACION DE VIA EN PUNTOS CRITICOS; Y ESTABILIZACION DEL TALUD Y VIA EN LA CURVA EL CUBARRO EN LA VIA QUE CONDUCE DE CUBARRAL A EL CASTILLO; META.,1401563286,1401563286,0,1401563286,2015,2015-06-23T00:00:00.000,2014-12-29T00:00:00.000,6,M,0,0,2015-06-29T00:00:00.000,3753549,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4053953'},900220547,900 841 686-5,META,VILLAVICENCIO,UNION TEMPORAL CUBARRAL 2014,LIQUIDADO
17-11-6162139-5917774,CUNDINAMARCA - ALCALDIA MUNICIPIO DE TENA,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE COMUNICA LA VEREDA LA HONDA CON SANTA CRUZ SECTOR LA AZUFRADA MUNICIPIO DE TENA CUNDINAMARCA. (CONV-ICCU-145-2016),140186915,140186915,0,140186915,2017,2017-03-06T00:00:00.000,2017-04-21T00:00:00.000,3,M,0,0,2017-07-21T00:00:00.000,5917774,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-11-6162139'},891180127-0,822005461,CUNDINAMARCA,TENA,SURTIOBRAS H&C,LIQUIDADO
18-1-186796-7364120,ANTIOQUIA - ALCALDIA MUNICIPIO DE GIRARDOTA,ANTIOQUIA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,LICITACION PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE ALGUNAS VIAS TERCIARIAS EN EL MUNICIPIO DE GIRARDOTA  ANTIOQUIA; MEDIANTE LA CONSTRUCCION DE PAVIMENTO RIGIDO; TIPO PLACA HUELLA,710924631,710924631,350454234,1061378865,2018,2018-05-18T00:00:00.000,2018-05-28T00:00:00.000,2,M,147,3,2019-02-28T00:00:00.000,7364120,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186796'},890980807,901180155,ANTIOQUIA,GIRARDOTA,CONSORCIO VIAS GIRARDOTA,LIQUIDADO
21-11-12047700-11449481,CUNDINAMARCA - ALCALDIA MUNICIPIO DE BITUIMA,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA TERCIARIA QUE COMUNICA LA VEREDA MONTANA CON EL SECTOR EL SILENCIO (BOCATOMA) SECTOR CIFUENTES; Y DE LA VIA TERCIARIA QUE COMUNICA LA VEREDA SAN CARISTOBAL CON LA VEREDA GUALIVA SECTOR SILDANA MARTINEZ EN EL MUNICIPIO DE BITUIMA CUNDINAMARCA,159702068,152378414,0,152378414,2021,2021-07-28T00:00:00.000,2021-08-03T00:00:00.000,2,M,0,0,2021-10-03T00:00:00.000,11449481,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12047700'},890208119-1,11436534,CUNDINAMARCA,BITUIMA,HENRY ANTONIO GARZON AVILA,LIQUIDADO
20-13-11334688-10497588,CALDAS - ALCALDIA MUNICIPIO DE MANZANARES,CALDAS,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,CONTRATACION MINIMA CUANTIA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONTRATAR A TODO COSTO LA CONSTRUCCION DE PLACA HUELLA EN CONCRETO; ENROCADO CENTRAL Y CUNETAS; EN LA VEREDA EL BOSQUE DEL MUNICIPIO DE MANZANARES; SEGUN ACUERDO DE VOLUNTADES CON EL COMITE DE CAFETEROS,24000000,23534205,11767102,35301307,2020,2020-11-25T00:00:00.000,2020-11-25T00:00:00.000,30,D,21,0,2021-01-15T00:00:00.000,10497588,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11334688'},800094711-3,901383034,CALDAS,MANZANARES,CONSORCIO ZETA,LIQUIDADO
17-1-178712-6599303,SANTANDER - ALCALDIA MUNICIPIO DE PUENTE NACIONAL,SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,LICITACION PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION DE PLACA HUELLAS VEHICULARES EN LAS VEREDAS BAJO GUAMITO; DELICIAS Y SAN DIMAS DEL MUNICIPIO DE PUENTE NACIONAL SANTANDER.,479259729,479259674,18975061,498234735,2017,2017-11-02T00:00:00.000,2017-11-10T00:00:00.000,3,M,6,0,2018-02-10T00:00:00.000,6599303,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-178712'},891703045-1,901119785,SANTANDER,PUENTE NACIONAL,CONSORCIO HUELLAS VEREDALES PUENTE NACIONAL,LIQUIDADO
19-11-9216170-8547229,META - ALCALDIA MUNICIPIO DE FUENTE DE ORO,META,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION OBRAS DE ARTE PARA EL MANEJO DE AGUAS DE ESCORRENTIA EN LA VIA QUE COMUNICA LA TROCHA 2 EN LA VEREDA URICHARE DEL MUNICIPIO DE FUENTEDORO META,62000000,62000000,0,62000000,2019,2019-05-02T00:00:00.000,2019-05-13T00:00:00.000,2,M,0,0,2019-07-13T00:00:00.000,8547229,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9216170'},892099183,86004553,META,FUENTE DE ORO,VICTOR BENISIO CAMARGO AGUILAR,LIQUIDADO
20-11-10447294-9719607,BOYACA - ALCALDIA MUNICIPIO DE TIBANA,BOYACA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO Y CONSERVACION DE LA MALLA VIAL RURAL EN EL MUNICIPIO DE TIBANA BOYACA,239430735,239415527,52629385,292044912,2020,2020-03-16T00:00:00.000,2020-03-20T00:00:00.000,2,M,23,0,2020-05-20T00:00:00.000,9719607,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10447294'},891800860,901376695,BOYACA,TIBANA,CONSORCIO VIAL TIBANA 2020,LIQUIDADO
21-11-12613073-12021517,CUNDINAMARCA - ALCALDIA MUNICIPIO DE FOSCA,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE COMUNICA LA INSPECCION DE SANAME CON LA VEREDA LA PALMA SECTOR LA ENRAMADA EN EL MUNICIPIO DE FOSCA; DEL DEPARTAMENTO DE CUNDINAMARCA,100000000,95681589,0,95681589,2022,2022-03-17T00:00:00.000,2022-04-01T00:00:00.000,8,M,0,0,2022-12-01T00:00:00.000,12021517,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12613073'},899999420,3006230,CUNDINAMARCA,FOSCA,MIGUEL ANTONIO LINARES ORDONEZ,LIQUIDADO
20-11-10434076-9708882,BOYACA - ALCALDIA MUNICIPIO DE BOYACA,BOYACA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL MUNICIPIO DE BOYACA - BOYACA,129932766,129932766,12860315,142793081,2020,2020-03-17T00:00:00.000,2020-03-17T00:00:00.000,60,D,0,0,2020-05-16T00:00:00.000,9708882,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10434076'},800023383,7175815,BOYACA,BOYACA,FREDY OSWALDO DUITAMA VACCA,LIQUIDADO
15-11-4134960-3930830,CUNDINAMARCA - ALCALDIA MUNICIPIO DE COGUA,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION PLACA HUELLA EN LA VIA DEL SECTOR ALTOS DE SANTA MARTHA (K0+368) ALTO DE LOS ROMEROS (K0+500) EN EL ALTICO MUNICIPIO DE COGUA; CUNDINAMARCA,150000000,149999215,0,149999215,2015,2015-09-17T00:00:00.000,2015-09-17T00:00:00.000,2,M,0,0,2015-11-17T00:00:00.000,3930830,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4134960'},800100051-7,21021680 DE TOCANCIPA,CUNDINAMARCA,COGUA,OMAIRA RIANO MOLANO,LIQUIDADO
16-1-161917-5292598,TOLIMA - GOBERNACION,TOLIMA,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,LICITACION PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION DE OBRAS CIVILES PARA EL MEJORAMIENTO DEL ENTORNO FISICO DE LA VEREDA LA URIBE SECTOR CENTRO POBLADO MUNICIPIO DE RIOBLANCO-TOLIMA (MEJORAMIENTO DE VIAS PAVIMENTACION CON PLACA HUELLAS TIPO INVIAS; SANEAMIENTO BASIC° Y AGUA POTABLES,1270500000,1246514191,0,1246514191,2016,2016-11-15T00:00:00.000,2016-11-15T00:00:00.000,60,D,80,0,2017-04-04T00:00:00.000,5292598,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-161917'},800113672,901023632,TOLIMA,IBAGUE,CONSORCIO CP LA URIBE 2016,LIQUIDADO
